src_ip,dst_ip,protocol,src_port,dst_port,duration, service,src_bytes,dst_bytes,wrong_fragment,hot,num_failed_logins,logged_in,lnum_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count
192.168.101.4,40.90.184.73,6,58142,443,1370954,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.73,6,58142,443,1370954,443,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,58142,1370954,58142,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,58142,1370954,58142,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,58142,1370954,58142,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,58142,1370954,58142,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,58142,1370954,58142,1438,1438,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.73,6,58142,443,1370954,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.73,6,58142,443,1370954,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.73,6,443,61882,1370954,61882,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.73,6,61882,443,1370954,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.82,192.168.101.4,6,443,64474,1450997,64474,52,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,64474,443,1450997,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,64474,443,1450997,443,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,443,61882,1450997,61882,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,443,61882,1450997,61882,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,61882,443,1450997,443,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,443,61882,1450997,61882,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,443,61882,1450997,61882,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,53,57946,1451012,57946,88,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,53,50060,1451012,50060,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,53,62823,1451012,62823,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,59689,443,1451012,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,59689,443,1451012,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,59689,443,1451012,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,59689,443,1451012,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,59689,443,1451012,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,443,59689,1451012,59689,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,443,59689,1451012,59689,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,443,53669,1451012,53669,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,443,53669,1451012,53669,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,53669,443,1451012,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,443,53669,1451012,53669,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
